transaction_hash,block_number,date,asset_id,seller,buyer,maker,taker,sale_price_eth,sale_price_usd
0x2e20ab06d86b116741d17c7f9cb6eacce22bd3a5c901a565b9460d55977b5efd,14164563,2022-02-08,15618,0x4af807f19aa181fa3eae8bc7481e571c039f2edc,0x3e3e926c7f785398d1719bda7799d7299080f57b,0x4af807f19aa181fa3eae8bc7481e571c039f2edc,0x3e3e926c7f785398d1719bda7799d7299080f57b,30.99,97617.05231794818
0x0d5a0d5b4915307f5d8cca2c6a7275d1a3ca6407d7dcb0da4df5f715468dc4ae,14164387,2022-02-08,9175,0xc30ef966d45f89a5a9db487c9cd3b662972cdf1e,0x6201539cdaab71be9aa41e0cb7cc08302bac71b1,0xc30ef966d45f89a5a9db487c9cd3b662972cdf1e,0x6201539cdaab71be9aa41e0cb7cc08302bac71b1,15.95,50241.75490388104
0x2d48ab992dbfd636192ea971e4888d9a9b9949f554a3c17c733d23b336970434,14164278,2022-02-08,7093,0x9da6640321b9c7a538b5b126e2cfbdc6a999144c,0xd160fcee67cb429ac910c4e57422ab9e13d3a2ad,0xd160fcee67cb429ac910c4e57422ab9e13d3a2ad,0x9da6640321b9c7a538b5b126e2cfbdc6a999144c,16.0,50399.25256815653
0x87e9c2b3f862587f91ecf90f1d1a7709de67d25844a2df86fd633eb500b2cf44,14164278,2022-02-08,7000,0x198ad6c547d20d70f2f656a4f48e6c7cfb7b4325,0x1254958bd5073c6b238e516298f0c48f6f60a78e,0x198ad6c547d20d70f2f656a4f48e6c7cfb7b4325,0x1254958bd5073c6b238e516298f0c48f6f60a78e,14.5,45674.322639891856
0xfda13a20225af3032c493babb06f77bc2aeb678b7b67e0dabbc67c7c034c8d48,14164130,2022-02-08,31,0xf153a88e3aa77c18b24bff2c84c8e6ff5bcc88fb,0xddae325f3dab3741da3c7827813ff7401e8bc9cc,0xf153a88e3aa77c18b24bff2c84c8e6ff5bcc88fb,0xddae325f3dab3741da3c7827813ff7401e8bc9cc,25.0,78748.83213774458
0x2021cd3d6d7d25cb53a6ab1391cfef2359b68feb90aa001f7e7e1eae5b62524f,14163976,2022-02-08,10229,0x87583b3bc1bc7eef209df481e1381834feab15a7,0xb753422eb9ee35930daed92045cbd13f17e27a64,0x87583b3bc1bc7eef209df481e1381834feab15a7,0xb753422eb9ee35930daed92045cbd13f17e27a64,17.99,56667.659606320994
0x778d159ad0510d86759661971e69c8eb288e1c9edeb81ccd301fc690f16407b1,14163948,2022-02-08,15984,0xb8fecafcc9248a6c2df5c30a8c8e89b95de43b92,0x34469e5365869e8723859a47fe480225a371a300,0xb8fecafcc9248a6c2df5c30a8c8e89b95de43b92,0x34469e5365869e8723859a47fe480225a371a300,17.8,56069.16848207414
0x8a53ff1c2dfb01e0d63217496d9d2c3c3deb38dbad7c62cea5f4aa447fa34bec,14163838,2022-02-08,9574,0x19acd0e64fd612f87e65d74c6c9aec8c39ac3887,0x3563ee3871db8bfaf11baeb7aef85ddaa98bb10d,0x19acd0e64fd612f87e65d74c6c9aec8c39ac3887,0x3563ee3871db8bfaf11baeb7aef85ddaa98bb10d,16.0,50399.25256815653
0xdaca97b7756047ee58a3937f701e96c024de270ef5580871fe69363c618a0a9d,14163800,2022-02-08,14875,0x50a0258e05e84ef5f35b55be4d3ed9379fdfe475,0x6ef2376fa6e12dabb3a3ed0fb44e4ff29847af68,0x50a0258e05e84ef5f35b55be4d3ed9379fdfe475,0x6ef2376fa6e12dabb3a3ed0fb44e4ff29847af68,16.69,52572.72033515829
0x92de87d7bd69ccf99daaa55d790f38cba73f1900effbbf90c130649d35c7a7f1,14163791,2022-02-08,8548,0xdb3a942667532764fbe63a820a6b42ace044a7d1,0x9e4fe453c1500421a67e492eb5c01aa72328c5a0,0xdb3a942667532764fbe63a820a6b42ace044a7d1,0x9e4fe453c1500421a67e492eb5c01aa72328c5a0,16.75,52761.717532288865
0xb09e38c503919d175aeadf48ddf980433f9baff3551ba3f364a8a4a106dc83d0,14163681,2022-02-08,18525,0x59c37e8a57cd4b711aa878449b9181ccb8d03dd2,0x113d754ff2e6ca9fd6ab51932493e4f9dabdf596,0x59c37e8a57cd4b711aa878449b9181ccb8d03dd2,0x113d754ff2e6ca9fd6ab51932493e4f9dabdf596,34.2328937,107832.01598282215
0x2a6b528259f0ec317a0fa67ff1de65230d33fa036502cb4b0cd28dfb3578d58c,14163678,2022-02-08,6531,0xcf778e06fc8aab30938341fb6a1f435c7ba862ec,0xf92bf6c34851abaf97446408b38f7a4a2c6073a3,0xcf778e06fc8aab30938341fb6a1f435c7ba862ec,0xf92bf6c34851abaf97446408b38f7a4a2c6073a3,15.0,47249.299282646745
0x1022f46b05a2966a0c1c06ecbe47194e11d154f383c298de8f31a027a1c94c33,14163583,2022-02-08,3810,0x081e92f8b195999d71b8c88d042da75f8be8ed9f,0x762ec7ca4658e76002447b0a29e1f44f575dbebc,0x081e92f8b195999d71b8c88d042da75f8be8ed9f,0x762ec7ca4658e76002447b0a29e1f44f575dbebc,14.3,45044.3319827899
0x2fcfe025cb4682a73217ed8cd9f4127988b45e9e239c7a4a38699058f26135ef,14163544,2022-02-08,7623,0xfbd351ea76d91457296eacbee248cb491ecff7d5,0xd3ba34b51199b4609028046c2a4fc56910852b90,0xd3ba34b51199b4609028046c2a4fc56910852b90,0xfbd351ea76d91457296eacbee248cb491ecff7d5,30.0,94498.59856529349
0x8bd95d27a687aea97ece63cc06238ba9c1f7585c91c73748a50f996c5753f093,14163391,2022-02-08,15475,0x7bbeefd5b569dd55d9fba6aeb600dad0513e643a,0x2079c29be9c8095042edb95f293b5b510203d6ce,0x7bbeefd5b569dd55d9fba6aeb600dad0513e643a,0x2079c29be9c8095042edb95f293b5b510203d6ce,75.0,236246.49641323375
0xf0807715e87c16ff16707900362c3e8ff906503b2e2aed9e2dedb5cc3bf00145,14163244,2022-02-08,10049,0xb084c7729d3f4af8a943b3050120450de892adca,0xc171a9d4dda66330c41b6dec0a6b1dc640b2b26d,0xb084c7729d3f4af8a943b3050120450de892adca,0xc171a9d4dda66330c41b6dec0a6b1dc640b2b26d,17.0,53549.20585366632
0xc691393865b98646b1dfa53dc6a1ce129b364f3136d5fae4aa2e2a7c2e4162af,14163073,2022-02-08,3863,0xb2b2a054fa6033f273a5401161ae1ebfea9f347b,0x0b44c2c92b7d9f0bded8eba2e750f2197a96e250,0xb2b2a054fa6033f273a5401161ae1ebfea9f347b,0x0b44c2c92b7d9f0bded8eba2e750f2197a96e250,0.001,3.1499532855097834
0xe196e75677c455e69363c1cf3443bd79a3cdac3ef063a88c98e0becbc8d24d19,14162951,2022-02-08,10011,0x751f5586a6f44fd1b066f4cec7a6dda95f5e8178,0x4831ac9428351a5c5227425a03a0c93d00db5943,0x751f5586a6f44fd1b066f4cec7a6dda95f5e8178,0x4831ac9428351a5c5227425a03a0c93d00db5943,15.0,47249.299282646745
0x5d5b8fc6681ce17c3124841c25301d9c9b7662c9271bc01e34227e170369e062,14162748,2022-02-08,10499,0x7d03e3e2c833018ee3a8cfcf3876296a2186696c,0xb1367bd5c4d68897ccedabb0641c6ae491b8a697,0x7d03e3e2c833018ee3a8cfcf3876296a2186696c,0xb1367bd5c4d68897ccedabb0641c6ae491b8a697,17.8,56069.16848207414
0xc37dbc1394cb94159f333dcfc7d578ed84154b04df599b13f5b8faf223aea986,14162718,2022-02-08,8286,0x187d6e8741af35c45198ebec83905eb23e742b15,0x421789d625ce587ab9f545cc778502883f90442e,0x187d6e8741af35c45198ebec83905eb23e742b15,0x421789d625ce587ab9f545cc778502883f90442e,17.0,53549.20585366632
0x1864d0002e6d833448563a25e7418243ffa63b3cacfc285ef31308ddec90e968,14162626,2022-02-08,423,0x076caed8c86a7f74be1b0a9e3778819e1e4a627b,0xa88218ce58baf8074333ec4845d79383e9417d88,0x076caed8c86a7f74be1b0a9e3778819e1e4a627b,0xa88218ce58baf8074333ec4845d79383e9417d88,27.49,86592.21581866393
0x9dc8d375f163eb0f1494b30d38e5a6003e877e55cf510ef0aa9e6f03359bffcf,14162613,2022-02-08,15436,0xd7f5ccd7de2533ee962326b4f2632563bf389629,0x2806214ca8400ee7575ca4de0f9272d440e4f067,0xd7f5ccd7de2533ee962326b4f2632563bf389629,0x2806214ca8400ee7575ca4de0f9272d440e4f067,15.12,47627.29367690792
0x04b675e720632af64a2caf4d46edb207685eb53340eb0a8162325189b2dad7f0,14162460,2022-02-08,406,0x84385b9db5257a8d05e29a62e8f348489c7e8dee,0xa88218ce58baf8074333ec4845d79383e9417d88,0x84385b9db5257a8d05e29a62e8f348489c7e8dee,0xa88218ce58baf8074333ec4845d79383e9417d88,15.2,47879.289939748705
0xa071e6802e805c61673bc2ab1e7d9490bc701211e4901f9ffb15f1bafe724a67,14162356,2022-02-08,16692,0xd94429831de89a23985606dbf63ad15c1ade14df,0xd2ee5e1381ce222dba7a33edf7eb5d2f31bb1db0,0xd94429831de89a23985606dbf63ad15c1ade14df,0xd2ee5e1381ce222dba7a33edf7eb5d2f31bb1db0,18.0,56699.159139176096
0x555f0b44e55f1584ba3fe5f828ea6e0ab44a3eb26553010afa56f2c80379d533,14162347,2022-02-08,11929,0xed2572b5ee0e73619f2632e7ac95cd3606b2fcfc,0x57eadd1811affbd06c03787caa973e626c090c62,0xed2572b5ee0e73619f2632e7ac95cd3606b2fcfc,0x57eadd1811affbd06c03787caa973e626c090c62,50.0,157497.66427548917
0xa6a9b4a21285ab4df99a78bd810ad0666e47cb288b21027c6e5dd9efb1f451e5,14162175,2022-02-08,7766,0x011c5fdc967fa1a6a15a8e75ee71791eea6585c8,0x29b3340f6c8e292a65ab5067632fe7e65fcb7b12,0x011c5fdc967fa1a6a15a8e75ee71791eea6585c8,0x29b3340f6c8e292a65ab5067632fe7e65fcb7b12,15.069,47466.646059346924
0x257dd026bae0d4fff2eda02f4a9b41c9cfea1da2f3d62f0259a8cc803372ac8b,14162100,2022-02-08,1343,0x59dc35bf70aff1c352a8f8e23d792edb6643292b,0x86a940d7638a2533c9dcfeaa90a199fe25de3961,0x59dc35bf70aff1c352a8f8e23d792edb6643292b,0x86a940d7638a2533c9dcfeaa90a199fe25de3961,16.5,51974.22921091142
0xf4aac22a633b9bb1ac245f16f284eba2f7515bbd6b2c87a61d5fcc1d5b52fbd6,14162066,2022-02-07,1619,0x5b388a3469a37bea7461d04d56250d981c3fbff1,0x2a5ba6819249aa93c0ad8711a9f8058360083fb7,0x5b388a3469a37bea7461d04d56250d981c3fbff1,0x2a5ba6819249aa93c0ad8711a9f8058360083fb7,15.25,46707.78857887448
0xed02f46d5e258c624705a62d5d867daeea1b3ab8bf929c60ec432924d01341bd,14161933,2022-02-07,10442,0xc126f7ec70da4d46447230923f6dee2d32990258,0xfa765d778a871c64f1770c5dbe64d39997d560bd,0xc126f7ec70da4d46447230923f6dee2d32990258,0xfa765d778a871c64f1770c5dbe64d39997d560bd,15.1,46248.36770760686
0xb74ea4b3ffc9b9e42c4c98663672a75379d21c01597e71f1a2cec1fe8627e772,14161692,2022-02-07,8660,0xf16f1a5399ca3c63a9e6248b421751252acc99b6,0x4c9e4a96c422a5ce4e9a09a6e6f960d6d50de7f2,0xf16f1a5399ca3c63a9e6248b421751252acc99b6,0x4c9e4a96c422a5ce4e9a09a6e6f960d6d50de7f2,15.8,48392.33177352242
0x93e4a002b419c266a3367a7f0f3f58dec693f98a1a1d85fac65eaaf45a687481,14161614,2022-02-07,9520,0x8cd3bb4fbfdfee013af5ac9c46f0c22746b095af,0xbbc01481d6d9016dbb0e829a34ac2874d48cc9e5,0x8cd3bb4fbfdfee013af5ac9c46f0c22746b095af,0xbbc01481d6d9016dbb0e829a34ac2874d48cc9e5,39.0,119449.42652958064
0xdc81e8bdd55f6f3af1b83e8357a28e426a0da7753bf67987659aa8f6615549ff,14161456,2022-02-07,18150,0x18175162fe221f3730f587cf8026c7fafcab33d2,0x4b4add0bf322e8c1d55703619908d65522ef6e52,0x18175162fe221f3730f587cf8026c7fafcab33d2,0x4b4add0bf322e8c1d55703619908d65522ef6e52,18.0,55130.504552114144
